"Link","Abstract"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150475732&doi=10.1007%2fs10142-023-01018-y&partnerID=40&md5=6654dc58410bd47c6d4ff66ba66e5d97","Globally, industrial farming endangers crucial ecological mechanisms upon which food production relies, while 815 million people are undernourished and a significant number are malnourished. Zero Hunger aims to concurrently solve global ecological sustainability and food security concerns. Recent breakthroughs in molecular tools and approaches have allowed scientists to detect and comprehend the nature and structure of agro-biodiversity at the molecular and genetic levels, providing us an advantage over traditional methods of crop breeding. These bioinformatics techniques let us optimize our target plants for our soil-less medium and vice versa. Most of the soil-borne and seed-borne diseases are the outcomes of non-treated seed and growth media, which are important factors in low productivity. The farmers do not consider these issues, thereby facing problems growing healthy crops and suffering economic losses. This study is going to help the farmers increase their eco-friendly, chemical residue-free, quality yield of crops and their economic returns. The present invention discloses a synergistic soil-less medium that consists of only four ingredients mixed in optimal ratios by weight: vermicompost (70–80%), vermiculite (10–15%), coco peat (10–15%), and Rhizobium (0–1%). The medium exhibits better physical and chemical characteristics than existing conventional media. The vermiculite to coco peat ratio is reduced, while the vermicompost ratio is increased, with the goals of lowering toxicity, increasing plant and water holding capacity, avoiding drying of the media, and conserving water. The medium provides balanced nutrition and proper ventilation for seed germination and the growth of seedlings. Rhizobium is also used to treat the plastic bags and seeds. The results clearly show that the current synergistic soil-less environment is best for complete plant growth. Securing genetic advantages via sexual recombination, induced random mutations, and transgenic techniques have been essential for the development of improved agricultural varieties. The recent availability of targeted genome-editing technology provides a new path for integrating beneficial genetic modifications into the most significant agricultural species on the planet. Clustered regularly interspaced short palindromic repeats and associated protein 9 (CRISPR/Cas9) has evolved into a potent genome-editing tool for imparting genetic modifications to crop species. In addition, the integration of analytical methods like population genomics, phylogenomics, and metagenomics addresses conservation problems, while whole genome sequencing has opened up a new dimension for explaining the genome architecture and its interactions with other species. The in silico genomic and proteomic investigation was also conducted to forecast future investigations for the growth of French beans on a synergistic soil-less medium with the purpose of studying how a blend of vermicompost, vermiculite, cocopeat, and Rhizobium secrete metal ions, and other chemical compounds into the soil-less medium and affect the development of our target plant as well as several other plants. This interaction was studied using functional and conserved region analysis, phylogenetic analysis, and docking tools. © 2023, The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130454597&doi=10.1371%2fjournal.pone.0264729&partnerID=40&md5=d7bfe746dbdda606c36b70ee7e78417c","The connection between international trade and food systems (un)sustainability is both contentious and critical for policy work supporting progress towards achieving the twin goals of hunger alleviation and dietary health while improving the overall sustainability of development. We characterize the food system using a set of metrics based upon the EAT-Lancet commission dietary guidelines for both over- and under-consumption of different foods to assess country-level dietary health and sustainability in tandem. Using a partial equilibrium model of agricultural production and trade, we then project the functioning of the global agricultural system to 2050 and calculate the metrics for that year. For most regions we find increased overconsumption above the expert-defined healthy and sustainable diet thresholds, with more limited progress towards closing dietary health and sustainability gaps where they currently exist. Trade influences this dynamic into the future under certain socioeconomic conditions, and we find that under a ""business as usual""trade environment, future agricultural import profiles continue to be misaligned with dietary health and sustainability outcomes, suggesting the potential for early intervention in trade policy as a means to positively influence food system outcomes.  © 2022 Mapes et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109737866&doi=10.3390%2fsu13137254&partnerID=40&md5=0a3ee56ac01e75217dcc5733905409b3","Kibera, the largest slum in Nairobi, Kenya, is increasing in size and complexity due to migration from rural areas. Reaching the objectives of zero hunger and sustainable cities and communities (SDGs2 and 11) are urgent and complex challenges to future development. In this survey a new fish value-chain has been set up between a rural area called Nyeri district and the inhabitants of Kibera, to supply small-sized affordable and accessible fish. The main aim of this article is to investigate this best practice example to assist future initiatives to overcome the complex challenges and discuss reasons why it was successful. The methods applied to obtain information to conduct this survey include a literature review, two workshops, and five preparatory interviews of Kibera inhabitants. The contributions by two community leaders, one in Kibera and one in Nyeri, are central to understand why this project was successful. The community leaders were trusted in their local networks. To ensure a resilient rural-urban food system in the future, it is critically important to understand context-specific institutional mechanisms, which in Kenya are based in communities run by strong community leads with capacities to motivate and influence other actors in the network to improve and make changes. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144711218&doi=10.3390%2fagriengineering4040063&partnerID=40&md5=c01b0c2f50a6cafa18a58b786e5ba63e","Agriculture is the foremost source of food for humans. Fossil fuels are typically used to operate farm machines, contributing to carbon emissions and accelerating climate change. It is possible to mitigate environmental damage by promoting renewable or alternative fuels, namely biofuels, solar energy, biomass, wind, geothermal, small-scale hydro, and wave power. Biofuels are considered as low carbon-emitting alternatives to conventional fuels. The use of biofuels promotes reduced emissions of greenhouse gases and reduces the related detrimental impact of transport. As an alternative to fossil fuels, renewable fuels seem to present a promising scenario. However, if low carbon products are promoted, analysis of each particular product’s GHG emissions and carbon footprint (CF) is needed. Nowadays, CF is considered as the prime indicator of environmental impact, and its calculation is in utmost demand. Agriculture significantly benefits from the use of renewable resources. The carbon footprint measurement has the potential to assess and compare carbon emissions generated by agricultural products and to identify points for improving environmental performance. Several studies have compared alternative fuels with conventional fuels, and it has been proven that using alternative fuels can significantly reduce traditional fuel consumption. Bioenergy includes a number of socio- economic, technical as well as environmental benefits that helps in achieving the UN sustainable development goals (SDG). The aim to end malnutrition and hunger (SDG 2) requires a sustainable system for food production as well as resilient agriculture practices to improve agricultural productivity. The revenues from bioenergy projects can provide food and a better diet for small farming communities, thereby improving their quality of life. The present review aims to provide a comprehensive outlook of the role of alternative or biofuels in the agriculture sector, in terms of economic feasibility and carbon footprint, for sustainable development. This review also discusses the various generations of biofuels in attaining carbon neutrality, biofuel’s impact on the environment, applications in agriculture, and limitations. © 2022 by the authors."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130521979&doi=10.1016%2fj.socscimed.2022.115001&partnerID=40&md5=7d24ff9ccad9ab9a89a5e27864a0a258","Diet is understood to be one of the most important influences on public health and chronic disease, and is particularly implicated in the so-called ‘obesity epidemic’. Yet interventions aiming to improve the population's dietary habits have failed to translate into widespread health improvements. Simultaneously, the knowledge landscape has become increasingly contentious, with fat activism challenging dominant approaches to how obesity is framed and addressed. This paper is based on 24 ethnographic interviews, and explores the work of health practitioners promoting therapeutic carbohydrate restriction (‘low-carb’ diets) for people with metabolic health conditions. Drawing on Michel Callon's study of technological innovation, I show practitioners engaging in ‘on-the-job sociology’—situated sociological work to justify, and forge a space for, innovative dietary intervention. These innovators employ physiological explanations of hormones, satiety (or hunger), and pleasure (or shame), supported with personal experience, to emphasise material connections between particular eating habits and the sustainability of dietary improvement in everyday life. They resist fat activist influence on healthcare practice (that has resulted in practitioners avoiding conversations about diet, fatness and health), as well as the more extensively critiqued practices of health promotion. Deflecting blame/shame from individuals, innovators spotlight the role of the food industry in undermining public understandings of food and physiology, and dietary improvement that is achievable and sustainable. Through on-the-job sociology, innovators forge a space to engage patients in collaborative dietary experimentation and improvement. This study highlights the importance of on-the-job sociology in the contemporary knowledge landscape, providing new insights about public health in the making. © 2022"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131262992&doi=10.21577%2f1984-6835.20220079&partnerID=40&md5=42064c94e7ca5971fe9bbedd88f790ff","Currently, the 26th United Nations Conference on Climate Change (COP26) is discussing the emission of greenhouse gases and global warming that cause climate change. However, the emission of greenhouse gases is not the only sustainability problem on the planet. The United Nations (UN) has listed 17 goals for sustainable development (SDGs) with the SDGs 1 (poverty) and SDGs 2 (hunger) goals being especially important. The need to produce more food to meet the growing demand of the world population has also led to the increase in pesticides to control pests and weeds. However, in recent years, a lot of damage has been done to the environment and human health by synthetic pesticides. Pesticides are produced by large corporations with little environmental commitment, and which has led to a generally negative view of the public towards persistent synthetic pesticides. The demand for more food led to the search for new pesticides and in 1990 the first neonicotinoid pesticide, imidacloprid, was introduced into agriculture, which proved to be quite efficient against pests, since the synthetic pesticides that were on the market already showed systemic resistance. However, they also brought more problems to the agricultural area than solutions. The objective of this work is to analyze the historical evolution, the advantages, and disadvantages of neonicotinoids. Despite not being the focus of the work, it is important to emphasize that pesticides based on natural products are safer, as they are part of the biota and have a relatively short environmental half-life. © 2022 Sociedade Brasileira de Quimica. All rights reserved."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138022460&doi=10.3390%2fagriculture12071031&partnerID=40&md5=96e9e0fb5f45517e1e3a2d4b263b1323","Though increasing food supply in order to meet the rising demand for nutrition is a global social imperative, reducing the dependence on imports of essential food commodities is both an economic and a geo-political imperative for national governments. However, in light of the Sustainable Development Goals, although Zero Hunger (SDG2) and Good Health and Well-Being (SDG3) can be ensured within a country when the inhabitants are well-nourished and staple food items remain affordable to one and all, oftentimes, there are trade-offs in the process, with the environmental dimensions—SDGs 13 (Climate action), 14 (Life below water) and 15 (Life on Land). In this paper, using a combination of Environmental-Life Cycle Assessment (E-LCA) and Data Envelopment Analysis (DEA), the authors have evaluated the eco-efficiency of 169 wheat cultivation systems in the Golestan province in the north of Iran. Benchmarking performance based on the best-performing wheat farms and optimizing (decreasing essentially) the consumption of resources, will enable an average reduction of between 10% and 16% in global warming, acidification, eutrophication, and non-renewable energy usage of the wheat cultivation systems in the case study region. The authors recommend the use of this combination not only for wheat cultivation in other regions of the world, but also for other agricultural systems. © 2022 by the authors."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123775489&doi=10.3389%2ffsufs.2021.701797&partnerID=40&md5=f9d353a0e283221eec351b98be4a6b12","For almost a decade, edible insects have become promoted on a wider basis as one way to combat world hunger and malnourishment, although attempts to do so have a longer history. Contemporary researchers and consumers, particularly those without an entomophagous background, have been rising safety and sustainability concerns. The present contribution seeks a substantiated answer to the question posed above. The possible answer consists of different factors that have been taken into consideration. First, the species and its life cycle. It is mandatory to realize that what is labeled as “edible insects” stands for more than 2,140 animal species, not counting other edible, non-crustacean arthropods. Their life cycles are as diverse as the ecological niches these animals can fill and last between some days to several years and many of them may—or may not—be reproduced in the different farming systems. Second, the level of knowledge concerning the food use of a given species is important, be it traditional, newly created by research, or a combination of both. Third, the existence of a traditional method of making the use of the insect safe and sustainable, ideally from both the traditional and the modern points of view. Fourth, the degree of effectiveness of these measures despite globalization changes in the food-supplying network. Fifth, farming conditions, particularly housing, feeding (type, composition, and contaminants), animal health and animal welfare. Sixth, processing, transport, and storage conditions of both traditional and novel insect-based foodstuffs, and seventh, consumer awareness and acceptance of these products. These main variables create a complex web of possibilities, just as with other foodstuffs that are either harvested from the wild or farmed. In this way, food safety may be reached when proper hygiene protocols are observed (which usually include heating steps) and the animals do not contain chemical residues or environment contaminants. A varying degree of sustainability can be achieved if the aforementioned variables are heeded. Hence, the question if insects can be safe and sustainable can be answered with “jein,” a German portmanteau word joining “yes” (“ja”) and “no” (“nein”). Copyright © 2022 Grabowski, Abdulmawjood, Acheuk, Barragán Fonseca, Chhay, Costa Neto, Ferri, Franco Olivas, González Aguilar, Keo, Lertpatarakomol, Miech, Piofczyk, Proscia, Mitchaothai, Guerfali, Sayed, Tchibozo and Plötz."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140444049&doi=10.3389%2ffsufs.2022.965767&partnerID=40&md5=c846fb81d66237549643f5ee0cefadf0","This paper provides estimates of the global investment gap in agricultural research and development (R&D) and innovation. The investment gap is defined as the additional annual investments required to end hunger in 2030 (Sustainable Development Goal SDG2) and to put agriculture on the pathway to the Paris Agreement target for 1.5°C increase over pre-industrial temperature levels. The investment gap is projected relative to a reference scenario with projections to 2030 using an integrated economic-biophysical model of the global agri-food system. In addition to showing the impacts on hunger, the modeling results are used to simulate the effect of the gap-closing investments on greenhouse gas (GHG) emissions from agriculture. In addition to projecting the impacts of overall investment in agricultural R&D on productivity and environmental outcomes, the analysis assesses the contributions of different types of innovative technologies and farming systems to the environmental outcomes, especially technologies that contribute to sustainability outcomes. Sustainability-oriented technologies and management practices examined include conservation tillage, nitrogen-use efficiency, improved livestock management, and other climate-smart technologies. The projected results show that additional agricultural R&D investments of USD 4 billion per year above baseline investments together with USD 6.5 billion per year invested in technical climate-smart options, can reduce hunger to 5% globally and achieve 2030 GHG emission reductions consistent with the Paris Agreement 2°C and 1.5°C pathways to 2030. Copyright © 2022 Rosegrant, Sulser and Wiebe."
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124425341&doi=10.1016%2fj.crsust.2021.100074&partnerID=40&md5=b072224e2e8c81e6ff6b6cb348859aca","In India, the modernization in the agricultural sector is continuously growing to meet the food demand of rising population. However, along with addressing hunger, modern agriculture impacts the ecosystem, human health, and resources, due to huge consumption of agrochemicals, and emission-intensive farming hence urges sustainable assessment. Till now, no impact assessment is reported on world's second-largest agricultural country- India. This paper is the first of its kind in evaluating the impact of the cultivation of 21 commonly grown crops that possess high production and emissions in India. The results were discussed in the order of impact parameters in respective years with possible causes and remedial measures. The results showed that rice has topped in maximum indices followed by sugarcane, wheat, and banana. The study forecasted that coconut played a concentrated role in global warming, while potato and sugarcane have a higher impact on water and ozone depletion, respectively. The outcomes of this study suggested appropriate improvements in farming practices, which can bring the emissions down and make the system more sustainable. Besides, these 18 indices were individually assessed for their connection with the 17 sustainable development goals (SDGs) in the aspects of agricultural activities to select the appropriate indices to measure the agricultural sustainability along with the identification of gaps to upgrade the existing indices or formulate a new one. Subsequently, this helps in achieving the SDGs in India with the least impact on the environment without compromising the socio-economic aspects involved in crop production and agricultural systems. © 2021 The Authors"
"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104698166&doi=10.3390%2fsu13084346&partnerID=40&md5=6da743d5dc6ce4f0806530ae9bc82aa3","The Food and Agriculture Organization of the United Nations supports the production of edible insects as a promising and sustainable source of nutrients to meet the increasing demand for animal-derived products by the growing world population. Even if insects are part of the diet of more than two billion people worldwide, the practice of eating insects (entomophagy) raises challenging questions for Western countries where this is not a habit. The research applied the Rasch models and showed that, in the case of hunger or need, 70.8% of the sample declared that they would be willing to eat insects. The willingness to habitually consume and pay for insect food is very low, but the percentages are higher than people who had actually had insect tasting experiences. This demonstrates that a communication process is necessary that aims to overcome psychological/cultural barriers. Only in this way will it be possible to increase the propensity to consume insects. © 2021 by the authors. Licensee MDPI, Basel, Switzerland."
